# Archivo de exportación de mapa de colores generado por QGIS
INTERPOLATION:INTERPOLATED
0,14,36,229,255,0m
20,2,175,181,255,20m
40,0,213,125,255,40m
60,0,232,68,255,60m
80,0,251,11,255,80m
100,49,255,0,255,100m
120,109,255,0,255,120m
140,170,255,0,255,140m
160,231,255,0,255,160m
180,255,237,0,255,180m
200,255,206,0,255,200m
220,255,176,0,255,220m
240,255,145,0,255,240m
260,249,127,6,255,260m
280,234,127,21,255,280m
300,218,127,36,255,300m
320,203,127,51,255,320m
340,183,122,61,255,340m
360,142,96,51,255,360m
380,102,71,40,255,380m
400,61,46,30,255,400m
420,249,249,249,255,420m
